content,score,reviewCreatedVersion,at
Aplikasi nya gajelas orang email sudah betul tapi gagal memproses malahan disuruh coba lagi! Sudah coba berkali2 tetap saja tolong dong diperbaikin bikin ribet,1,3.98.0,08/01/2024
"Setelah top up ke ovo, aplikasinya tidak bisa dibuka, stuck diawal saya sangat kecewa",1,3.98.0,08/01/2024
"OVO gimana ya,apk koq ngelek trus pas mo buka selalu nggak bisa...",1,3.98.0,08/01/2024
Gampang tanpa biaya..,5,3.98.0,08/01/2024
Gmnaaaaaaaaa ko g bs dipake ni aplikasi,4,3.98.0,08/01/2024
"Ini gimana? Msak ulang lagi pas masukin email sudah terdaftar kan emailnya 1 itu aja.. Masuk sama daftar masak ya sama? Harus bedain dong mana udh top up buat bayar malah bulet""",2,3.98.0,08/01/2024
Ini ovo gangguan ato gmn sih . Orang mau transaksi malah error' ga bs di buka,1,3.98.0,08/01/2024
"Disaat E-walet lainnya menawarkan kemudahan, kecepatan, dan biaya admin hanya puluhan atau ratusan rupiah, bahkan gratis.. Ovo biaya admin Rp 1.500 dr tiap transaksi top up lagi..",1,3.98.0,08/01/2024
Aplikasi nya ribet padahal sudah kumplit semua data,1,3.98.0,08/01/2024
Harus pake internet supercepat,3,3.98.0,08/01/2024
Sangat mudah di mengerti,5,3.98.0,08/01/2024
Cepat responnya,5,3.98.0,07/01/2024
Love bangettt.cuman rada boros nya tiap transaksi selalu di potong 1.500.,5,3.98.0,07/01/2024
"parah ni mau beli vls aja gagal terus ,gw delet aja app nya bikin pusing",1,3.98.0,07/01/2024
Aplikasi ini membuat saya merasa nyaman dengan kondisi dan situasi yang minat,4,3.98.0,07/01/2024
"Semakin Kesini Semakin Nga jelas OVO TOP UP msa Udah brapa Hari belum masuk"" Tangapan nya Juga Nga pasti Mnding Di DANA dari pada OVO, Tutup ajh APK nya Dri pda Nyimpen Uang Nga aman.",1,3.98.0,07/01/2024
Apaan toup up 50.000k jadi 48.500k Hmmmm😂. Skrng mana upgrade foto ulang malah di tolak trus di sangka bukan KTP gua parah emng ... Hadeehhhh,1,3.98.0,07/01/2024
"Maap saya hapus aja aplikasi ovo,kaga guna banget masa TF sesama ovo gagal terus Sungguh gagal ini aplikasi Nyesel gua pake ovo,udah banyak potongannya ribet mau TF juga Mending pake aplikasi dana g ribet kaya ovo",1,3.98.0,07/01/2024
kenapa proses verivikasi primer nya lama,4,3.98.0,07/01/2024
Mudah...semua jadi mudah asal ada isinya,5,3.98.0,07/01/2024
"Terima kasih OVO, semua menjadi mudah dan menyenangkan",5,3.98.0,07/01/2024
Aplikasi sudah mulai bisa dipakai dengan nyaman.,5,3.98.0,07/01/2024
"Saya transfer, tapi dalam proses dan saldo sudah terpotong, dan orang yg mau saya transfer, belum menerima... Kembalikan aja saldonya....",1,3.98.0,07/01/2024
"Emang boleh ovo aplikasi buat transaksi tapi gabisa transaksi, emang boleh??",1,3.98.0,07/01/2024
Tidak bisa dipakai bertransaksi di Indomaret !!!!,1,3.98.0,07/01/2024
App ini kenapa gak bisa untuk dapatkn link dari kemarin mf bintang satu dulu,1,3.98.0,07/01/2024
Kenapa setiap mau login susah banget,1,3.98.0,07/01/2024
Jangan pake aplikasi ini dah nyesel. Sya isi paket kuota di pesan SMS GAGAL. Tapi di OVO udah ke potong. Sampai skrang saldo ngga balik lagi. Udah komplain responnya mengecewakan. Kapok pokoknya,1,3.98.0,07/01/2024
Untuk semua orang di harapkan jangan pernah pakai aplikasi ovo karna menurut saya ovo ini tidak tanggung jawab Saya transfer dari hari kamis sampai sekarang juga ngkk masuk masuk malah di di ambil oleh aplikasi ovo ini,1,3.98.0,07/01/2024
"Aplikasi jelek, melakukan pembayaran QRIS statusnya dalam proses terus udah 3 hari dan uang tidak kembali",1,3.98.0,07/01/2024
Cepat dan tanggap,5,3.98.0,07/01/2024
Mantul mantap betul,5,3.98.0,07/01/2024
ga asik suruh login pake email baru pdhl jelas' email ku ga bermasalah. dia bilang email ini udh terdaftar. ya emng bener si udh terdaftar tpi ini email nya sama woy orang yg pake jg sama,2,3.98.0,07/01/2024
Aplikasinya sangat bermanfaat.tf nggak ada 6detik sudah sukses terkirim ke no tujuan..tp sayang nominal tf nya nggak masuk sama sekali.sangat kecewa mohon penjelasanya trimakasih,1,3.98.0,07/01/2024
"Aplikasi apa ini, setiap transfer ggl, dan saldo udah kepotong, chat cs nya slow respon suruh nunggu trs",1,3.98.0,07/01/2024
"Taik lah saldo ilang terus ga jls lama"" Ni e wallet satu ini di pesan gada transaksi keluar tapi saldo berkurang sendiri trus dasar apk ga jls",1,3.98.0,07/01/2024
Sangat cepat dalam transaksi bagus sekali,5,3.98.0,07/01/2024
Gak tau ovo ini gimana ya.. Sering banget tiba* akun ku keluar* sendiri harus catat ulang nomor dan kode sering sekali.. Kenapa sih harus begitu.. Kan akunnya sama kenapa harus diulang* daftarnya.. Jadi males kadang.. Padahal aplnya kan diandalkan karna indomaret disini dekat beda dengan alfa harus jauh* dulu.. Masa kadang sering mau tarik tunai tiba* keluar sendiri akunnya.. Kan jadi lama..,2,3.98.0,07/01/2024
"kok ovo bermasalah terus ya? saya pengen masuk ke akun saya dan mengganti namanya tapi tidak bisa ,tolong dong ovo ini kenapa",2,3.98.0,06/01/2024
"ada yg ngeluh gak bisa di buka, coba pakai vpn. saya tadi pake vpn bisa di buka lancar",3,3.98.0,06/01/2024
Ovo di hp aku bisa terbuka sendiri kok y,1,3.98.0,06/01/2024
Tf proses trus sampe 2hari lewat. Bilang katanya lgi di proses. Apanya yg di proses,1,3.98.0,06/01/2024
Padahal langsung klik otp link via SMS langsung kadaluarsa gimana cerita nya coba,1,3.98.0,06/01/2024
"Aplikasi ga koperatif, di atas jam 10 malem transaksi suka ga bisa ga kaya yg sebelah Tolong kalo buat pelayanan yang maksimal Anda telah memotong dana top up dan setiap mengirim dana nya juga, perhatikan baik baik soal point pertama ini wahai developer",1,3.98.0,06/01/2024
Parah gak bisa transfer gagal terus,1,3.98.0,06/01/2024
Tolong di perbaiki lagi masak buat daftar gak bisa,3,3.98.0,06/01/2024
Sering gak bisa masuk gimana mohon perbaikanya,1,3.98.0,06/01/2024
Sangat bagus apk nya,5,3.98.0,06/01/2024
Mantap tidak ada halangan smga makin sukses,5,3.98.0,06/01/2024
"Ko sy isi ovo ga masuk"" Trs kenapa ya",1,3.98.0,06/01/2024
Sangat membantu transaksi saya🤗,5,3.98.0,06/01/2024
Kenapa aplikasi ovo sekarang slalu bermasalah Dan setiap kali mau bertransaksi selalu tunggu,1,3.98.0,06/01/2024
Susah masuk cm mentok di nama tidak bisa lanjut.. bermasalah x ya ganti tahun,3,3.98.0,06/01/2024
"Top up di potong,TF di potong semua nya lah di potong banyak kli untuk ovo ni tapi mau gimana lagi udah terlanjur premium....",1,3.98.0,06/01/2024
Cs lambat banget nanganin masalah. Mau ganti nomor hp buat akun yang hilang ga dihubungi terus. Penghapusan akun lama banget ahhh apk apaan ini. Ditelpon cs nya mutusin sepihak mulu,1,3.98.0,06/01/2024
Maaf ini gmn y.temen sya transfer lewat dana ke OVO sya knp g bisa masuk masuk uang a k ovo sya,1,3.98.0,06/01/2024
Kenapa.jadi lelet??? Atasi donk .....di kalimantan selatan ga bisa dibuka aplikasinya,1,3.98.0,06/01/2024
Ovo maksa minta di update. Setelah di update jadi bangke error.,1,3.98.0,06/01/2024
"saya login, ga mau msuk tekeluar muluu",1,3.98.0,06/01/2024
Mudah cara menggunakannya dan ndak lama² lgsg clear,5,3.98.0,06/01/2024
"Apasih GK bisa masuk ke menu lupa security code, selalu muncul ada masalah Mulu jelek banget sih",1,3.98.0,06/01/2024
"Aplikasi apaan ini gabisa daftar, masukin nama aja malah ngebug",1,3.98.0,06/01/2024
Buat ngirim susah kali fak!,1,3.98.0,06/01/2024
"susah upgrade akun premier, padahal sudah ikutin arahan helpdesk nya, bukannya di kasih solusi malah coba di suruh tunggu 1 jam, setelah di tunggu malah kena limit upgrade dan malah di suruh coba lagi besok... padahal kan kita bisa di permudah mengenai data ktp/ selfi melalu kirim ke emaipnya...intinya g ada solusi.",1,3.98.0,06/01/2024
"Top up di notifikasi berhasil, tapi saldo tidak bertambah. Saat mengajukan laporan di minta SS history. Semua prosedur sistem ny kita ikuti tapi zonk, sangat tidak membantu. Saldo hilang tidak jelas. Admin yang menjawab keluhan hanya mesin. Sangat mengecewakan. Saldo kita hilang.",1,3.98.0,06/01/2024
Membantu saya dalam transaksi online,5,3.98.0,06/01/2024
"Aplikasi kere, ngupgrade minta foto KTP, data juga apa adanya masih dituduh palsu. Tuduhan ngawur. Bisa kena pidana ini.",1,3.98.0,06/01/2024
Kenapa aplikasi sya tidak bisa di gunakan untuk mengirim uang ke rekening bank dan sesama pengguna ovo juga tidak bisa,1,3.98.0,06/01/2024
Aplikasi yang simple buat transaksi,5,3.98.0,06/01/2024
Aplikasi nya sangat jelek selalu eror,1,3.98.0,06/01/2024
Wahhh hati hati bro klo transfer ke ovo..saya ngalamin nih ..udah mau dua hari transfer ke bank BCA lewat ovo saya pribadi blom kekirim..mana di chat email balasannya mohon maaf atas kendala Mulu.. Gw ngeri ga masuk masuk..,1,3.98.0,05/01/2024
Saya kasih bintang 2 dulu y Karna saya belum tau cara memakai apk OVO ini.,2,3.98.0,05/01/2024
Mantap dan cepet banget transaksi,5,3.98.0,05/01/2024
"Makin baru malah gak bisa dipake fitur favoritnya. Gimana nih programernya, kok malah berkurang fiturnya...🤔",1,3.98.0,05/01/2024
"Uang saya hilang, tdk banyk tp sudah buat saya kehilangan maaf ya ovo saya harus jujur",1,3.98.0,05/01/2024
Mantapp sekali buat bayar tagihan gercepp bgt...,5,3.98.0,05/01/2024
"ini ovo gimna? kok gw gk bisa login ke akun, mau tarik uang aja gk bisa, susah login. tolong info nya developer",1,3.98.0,05/01/2024
Login aja susah banget. Whatsap kode verifikasi gak dikirim kirim udah diulang ulang sampek ganti ke hp satunya juga sama aja.,1,3.98.0,05/01/2024
"ga bisa transfer ga bisa isi kuota ,parah",1,3.98.0,05/01/2024
Knp ovo ngga bisa di buka ya,5,3.98.0,05/01/2024
Hebat cepat dan tepat,5,3.98.0,05/01/2024
Memudahkan pelanggan. TOP,5,3.98.0,05/01/2024
"Aplikasi dompet digital gak jelas,masa transfer ke ATM udh 2hari gak masuk masuk gak jelas taiii",1,3.98.0,05/01/2024
"Mudah dan cepat, sehingga sangat membantu",5,3.98.0,05/01/2024
"Saya sudah beberapa tahun paki OVO selalu lancar tanpa kendala, namun akhir-akhir ini sangat mengecewakan. Bahkan saya gagal transfer beberapa kali. 😩",1,3.98.0,05/01/2024
kenapa skrng harus ada istirahat ya mau transaksi nunggu brapa jam ya Allah app makin kesini kok makin kesana sih nga jelas,1,3.98.0,05/01/2024
"Sudah buat transaksi gangguan mulu,tutup aja klu gk pecat maintanenya",1,3.98.0,05/01/2024
Masak abis top up Kbnyakan istrahat sebentar🤣🤣,4,3.98.0,05/01/2024
"Jangan Sering Maintenance...Jangan sering kali istrahat... giliran mau transaksi malah maintain... Kalau mau maintenance itu malam2,,, jgn di jam org banyak transaksi...aplikasi besar kok gak bisa mikir bijak sikit",1,3.98.0,05/01/2024
"Ada apa dengan apk ovo, pas buka kok stack mulu",3,3.98.0,05/01/2024
Sering gagnguan ovo...gak kaya yang sebelah...ovo sering gangguan,5,3.98.0,05/01/2024
"Aplikasi gak bisa dibuka, makin di update makin gak jls",1,3.98.0,05/01/2024
"Malah gak bisa di buka bermasalah mulu, makin sini makin parah.",1,3.98.0,05/01/2024
Ovo kenapa nggak bisa login,5,3.98.0,05/01/2024
Tidak bisa di buka aplikasi sialan,5,3.98.0,05/01/2024
Baru Makai ovo udah tidak bisa d buka,1,3.98.0,05/01/2024
"Overall sih suka sama aplikasinya dari ui,loading time dll, cuma tolong kedepannya biaya admin kalo bisa free aja, karna mahal sekali biaya admin aplikasi ovo",4,3.98.0,05/01/2024
Sip... Alhamdulillah memudahkn,5,3.98.0,05/01/2024
Mantap aplikasi nya,5,3.98.0,05/01/2024
Uang gw hilang bjir keamanannya gmn sihh,1,3.98.0,05/01/2024
Gampang banget TF nya,4,3.98.0,05/01/2024
Kenapa gk bisa d buka,2,3.98.0,05/01/2024
Aplikasi stuck di buat nama lengkap tidak bisa di pencet,1,3.98.0,05/01/2024
"Aplikasi nya sering gangguan, nyesel pakai, uangku disini 5jt Dan top up kena fee, dimana mana top up itu gratis fee, kalau transfer baru kena fee, dah Apus aja",1,3.98.0,05/01/2024
Aplikasi ngk berguna..,1,3.98.0,05/01/2024
Sangat cocok untuk saya simple bnget,5,3.98.0,05/01/2024
Bagus vs oke,5,3.98.0,05/01/2024
Mudah dalam pembayaran dan tranfer,4,3.98.0,05/01/2024
Paya biaya admin top up,1,3.98.0,05/01/2024
"Skrg untuk bayar pulsa dan bayar KAI kok gk bs ya, mohon unt sistemnya diperbaiki secepatnya",1,3.98.0,05/01/2024
Transaksi jd mudah dan aman,5,3.98.0,05/01/2024
Kalau bisa jangan di potong uang yang masuk.. Tolong di perbaharui,5,3.98.0,05/01/2024
"Susah bangat yah,ganti akun ke yang baru,nomer sudah ke ganti, sekarang mau daftar untuk bisa transfer saldonya,lama banget dari kemarin Poto KTP terus🤦kacau ovo",2,3.98.0,05/01/2024
Transaksi mudah dan cepat..sukses OVO,5,3.98.0,05/01/2024
Aplikasinya sangat berguna bagi menyimpan duit,5,3.98.0,05/01/2024
Transaksi nya cepat dan aman,5,3.98.0,05/01/2024
"Knpa saya tidak bisa login, gk masuk akal",3,3.98.0,05/01/2024
Ga usah unduh aplikasi ini Gua udah daftar tapi di suruh masukin nama pas gua masukin cuman bisa satu huruf doana,1,3.98.0,05/01/2024
Bagus banget jadi mudak transaksi deh,5,3.98.0,04/01/2024
Sangat bagus cara transfer mudah hanya saja biaya PPN mahal,5,3.98.0,04/01/2024
Bagaimana ini sudah saya uninstall ulang lalu download kembali tetap juga tidak dapat login.makin lama makin betul,1,3.98.0,04/01/2024
"Di masukin kode ber ulang"" gk bsa terus sms kidenya jga gk sampe""",1,3.98.0,04/01/2024
"Kurang asem memang, masak bayar QRIS udah 2 bulan belum di proses saldo sudah di potong di merchant belum masuk di return gak bisa aplikasi vangkeee",1,3.98.0,04/01/2024
"Mau daftar aja gk bisa,?? Taik,masa gk bisa tulis nama",1,3.98.0,04/01/2024
Sebenernya ovo ini bagus tapi tambahin to up semua game dari google play store dan kasih bonus koin 10ribu donk buat yang top up 200ribu di ovo,5,3.98.0,04/01/2024
Kenapa punya ku ngak bisa keluar kamera majah nya saat mau selfi wajah,1,3.98.0,04/01/2024
Transfer selalu gagal...uang ngendap bisa hilang....jangan pakai lagi aplikasi ini,1,3.98.0,04/01/2024
Ovo saya tidak bisa di buka .setelah update malah tidak bisa di buka lagi.sungguh kecewa sama ovo...padahal saya sudah lama pake ovo.,1,3.98.0,04/01/2024
"Setelah di update ,Kenapa Ovo poin tidak tersedia untuk pembayaran ya, padahal sebelumnya bisa buat pembayaran menggunakan ovo poin di outlet yang tersedia mesin EDC ovo.Tolong pencerahanya",2,3.98.0,04/01/2024
Keren aman cepat,5,3.98.0,04/01/2024
jgn mau download ovo klu Ada masalah susah buat balikin Dana keep pelangan korban ya w sendiri w Uda kirim tp dana w lom Di balikin oleh pihak ovo banyak modus ya Dan banyak pertanyaan kaya mau donggeng sebelum tidur klu kita buat laporan keep pihak ovo ya kaya anjik pihak ovo,1,3.98.0,04/01/2024
Kenapa ovo tidak bisa dibuka,5,3.98.0,04/01/2024
Sinyal bagus kok malah bilang gak ada koneksi internet padahal baru aja isi saldo disitu,1,3.98.0,04/01/2024
Memuaskan lach sayanknya setiap transaksi kena seribu,4,3.98.0,04/01/2024
"Sipel dan cepat, ok banget",5,3.98.0,04/01/2024
Pencairan investasi ke ovo ces lama beet guwe nari tgl 4 masuk ke ovo ces tgl 15januari Tolong di perbiki dong masak harus nungu lama la kalo uang yang mau kepake langsung kan ribettt,1,3.98.0,04/01/2024
"Transaksi gagal,saldo berkurang aplikasi penipu,sudah hubungi cs percuma, katanya sudah berhasil nyatanya saldo tidak kembali juga",1,3.98.0,04/01/2024
Lumayan mudah transaksinya,3,3.98.0,04/01/2024
Mengapa aplikasi nya tidak bisa di akses,1,3.98.0,04/01/2024
Loading Mulu ini apk jaringannya harus kuat kita ini di desa jaringan nya sedang ingat itu. Ngk kyk sih biru jaringan sedang pun bisa,1,3.98.0,04/01/2024
cepet terealisasi,5,3.98.0,04/01/2024
Mantap mau transaksi apa sj jd mudah🥰,5,3.98.0,04/01/2024
Sudah 1 bulan isi disini uang elektronik sering banget bermasalah. Ovo tidak tanggung jawab.,1,3.98.0,04/01/2024
Aplikasi yg setiap 2 kali sebulan harus di update. Menyebalkan..gitu buka aplikasi langsung harus di update. Bolak balik update terooss,1,3.98.0,04/01/2024
"transfer aja perlu waktu berhari-hari. apalagi jumlahnya lumayan, dan uang sedang dibutuhkan.",1,3.98.0,03/01/2024
Parah ni ovo g bisa kirm dri jam 12 td Hmmn,2,3.98.0,03/01/2024
"Miris kalo nomor lupa gak bisa apa"" lagi, bukannya dibantu untuk kasih nomor yang lupa malah di suruh bikin surat pernyataan make materai 10k padahal tinggal kasih informasi nomor yang lama,ini malah disuruh buat ini itu lagi",1,3.98.0,03/01/2024
Kenapa mau daptar ko g bisa ya pasau tulis nama langsung nge bag g bisa cuman bisa nulis 1 angka saja g bisa lagi maju,1,3.98.0,03/01/2024
Masih hrs ditingkatkan pelayanannya,4,3.98.0,03/01/2024
Top up saldo mandiri udah kepotong di ovo gk masuk .. gmn nih komplennya kemana... uangku hilang melayang ...,1,3.98.0,03/01/2024
"Ini gimana yah, kok gabisa bikin nama lengkap ..",2,3.98.0,03/01/2024
"Aplikasi tidak bisa login, manah ada duit nya. Huu suruh ini itu lah, tetep ajj ngga bisa masuk. Tolong di tingkat an",1,3.98.0,03/01/2024
"Makin kesini untuk makin ga jelas,ada masalah apa lah entah makin lelet",1,3.98.0,03/01/2024
Biaya transfer lumayan,1,3.98.0,03/01/2024
Mmpermudah transaksi,5,3.98.0,03/01/2024
"Ovo ini kenapa sih , sering log out sendiri , kode otp lama , perbaiki dong kalo tba² mau buat bayar gmna kalo ga bisa log in",1,3.98.0,03/01/2024
Kok account saya tidak ada QR Code nya min??,5,3.98.0,03/01/2024
call center biaya yg sangat mahal kurang relevan,1,3.98.0,03/01/2024
coba buka dulu bro dan mbak aku udah paket lengkap semoga bermanfaat dan jasuke di daerah mana gan ane mau jual mobil bekas Toyota kijang Innova g at mf semono ga ada yang lupa selamat datang di halaman rumah hantu terbesar di dunia ketiga di dunia ketiga di dunia ketiga di dunia ketiga di dunia ketiga di dunia ketiga ini orang lain waktu klo boleh temenan sama guild gua tim Andra the yang paling t di daerah ini siapa dam dam dam Batang ey bisa di simpan ke sini woy tanding di daerah e si anak u,1,3.98.0,03/01/2024
mana saldo ovo saya ga masuk setelah melakukan topup lewT Indomart. katanya penanganan nya 3 hari kerja ini dah 6 hari ga masuk2.... aplikasi lelet dalam respon komplain,2,3.98.0,03/01/2024
"Padahal punya saldo di ovo, tapi kok buat top up game gak bisa. pasti ada tulisan "" Nomor anda tidak terdaftar di OVO"", kalau emang gak bisa daftar kenapa bisa login, bisa di isi saldonya?, aneh banget, bikin orang rugi",1,3.98.0,03/01/2024
Selalu memperpudah,5,3.98.0,03/01/2024
Bintqng 3 dulu belum bisa up date ke primeum,3,3.98.0,03/01/2024
"aplikasi tolol, bisa"" org yg tf ke ovo malah uang awak yg kenak admin. dan aneh nya lagi klau tf ke bank lain kenak biaya admin.... memang pakai sea bank doang ni yg paling enak",1,3.98.0,03/01/2024
"Gangguan dari tadi pagi gak bisa2 di buka, stuck di halaman awal doang gmn sih ini mau transaksi juga gabisa2",2,3.98.0,03/01/2024
Kenapa top up yang ditransfer dari Dana ke oVo saya tidak masuk masuk ya dari pagi sampai siang belum masuk,4,3.98.0,03/01/2024
"Hp habis di restart login susah banget tambah ruwet AE,padahal link sudah diklik tetap g bisa masuk,ojok ruwet2",2,3.98.0,03/01/2024
Kenapa menu transfer hilang tiba2,1,3.98.0,03/01/2024
Ovo gak ada gunannya malah transaksi gagal terus,1,3.98.0,03/01/2024
Lumayan mudah sebagai pengalaman pertama,5,3.98.0,03/01/2024
"Saya transfer dari gopay saya ke ovo saya,,digopay tulisan transaksi sukses tapi saldo tidak sampe ovo...lapor ke ig resmi ovo kata nya suruh nunggu 3 hari kerja,tp ini sudah hari ke3 blom sampe2...ovo ga recomend....bagusan gopay",1,3.98.0,03/01/2024
"Ovo lama lama kaga jelas lg di perlukan malah banyak gagal nya sama proses gagal mulu gmn mau di kasih bintang bagus,dan dana saya blm masuk di aplikasi ovo",2,3.98.0,03/01/2024
Mengecewakan masuk aja di ribetin apalagi ibu saya Ada Di luar kota GIMANA sih apk nyebelin,1,3.98.0,03/01/2024
Transfer bank kurang lengkap dan top up e wallet cuman ada e money aja.,2,3.98.0,03/01/2024
Bagaimana ini saya mau tf tapi gagal dan saldo tidak bisa di kembalikan,2,3.98.0,03/01/2024
"Mantab, transaksi real time, bintang 5 deh pokoknya 👍👍👍",5,3.98.0,03/01/2024
"Susah upgrade , ada aj nyusahin nya, gk bs bantu apa2 jg jd nya, udah prnh hubungin gda solusi, buang2 kuota aja, respon lama, susah 👎Payah",1,3.98.0,03/01/2024
lama masuk nya,1,3.98.0,03/01/2024
Aplikasi gak jelas deh.isi nama susah na kyak anjay.,1,3.98.0,03/01/2024
Apk parah tidak bisa pulihkan akun lama saya.. yg sudah terdaftar!!! Proses laporan nya lama banget di bales,1,3.98.0,03/01/2024
Kenapa saya transfer gagal terus iyha padahal saya hapus install dan download lagi tetep gak bisa transfer apalah,1,3.98.0,02/01/2024
Bermanfaat jadi lebih gampang,5,3.98.0,02/01/2024
Terlalu lama untuk verifikasinya.. mohon di percepat,2,3.98.0,02/01/2024
Kena upgrade ga bisa transfer dana,5,3.98.0,02/01/2024
"Apk aneh,daftar aja susah??? Tolong di permudah,agar orang awam seprti saya bisa memahami",1,3.98.0,02/01/2024
"Kendala gemail yang aku daftar ke hapus,lalu di ganti ke Gmail baru ngk bisa",1,3.98.0,02/01/2024
"Kenapa ya,saldo saya 500000 terus saya top up game 250000 tapi kenapa saldo saya sisa nya jadi 160000 ya,tolong dong saldo saya dikembalikan lagi yang hilang",1,3.98.0,02/01/2024
Mantab sangat membantu sekali buwat tf cepet dan aman,5,3.98.0,02/01/2024
"Aplikasi ini dapat dibagikan oleh pihak ketiga, dalam artian dapat dimungkinkan adanya indikasi sabotase data, padahal ini adalah aplikasi sensitif terkait masalah keuangan yang bersifat "" pribadi""...",1,3.98.0,02/01/2024
Aplikasih Sampah Aplikasih tidak terbuka... Jangan download aplikasi ini.. Saya baru top up tiba tiba aplikasi tidak bisa di bukak..,1,3.98.0,02/01/2024
"Ovo semakin tidak benar semakin banyak pemotongan keuntungan tidak ada saat memakai ovo,aplikasi tidak jelas.",1,3.98.0,02/01/2024
Saat ini aplikasih ini bikin kesal karena mau transfer pke ovo selalu gagal.,5,3.98.0,02/01/2024
Coba dulu lg.pernh aku uninstall,3,3.98.0,02/01/2024
"Buruk sekali applikasi nya, nyesel top up ke ovo. Aplikasi bapukkkkk",1,3.98.0,02/01/2024
Payah setiap transfer gangguan terus ngg sma yg lain,1,3.98.0,02/01/2024
Isi ke ovo via ATM saldo berhasil masuk tapi uang tidak nambah di ovo di tambah admin slow respon,1,3.98.0,02/01/2024
Cepat pelayanan nya,5,3.98.0,02/01/2024
Sangat mudah dan sangat membantu...top markotop😁,5,3.98.0,02/01/2024
Aplikasi sudah cukup bagus cuma untuk biaya admin saya rasa terlalu besar untuk setiap transaksi dan potongan nya juga lumayan. Tidak seperti aplikasi sebelah yg selalu ada gratis kirim dll setiap bulanya dan banyak voucher menarik. Mungkin bisa di jadikan bahan evaluasi untuk ovo kedepannya Terimakasih,2,3.98.0,02/01/2024
Mudah bertransaksi apapun,4,3.98.0,02/01/2024
"kenapa mau transfer saldo ovo dipersulit ?? disuruh upgrade premier setelah di up ,, malah kena limit up 🤦‍♂️🤦‍♂️🤦‍♂️",1,3.98.0,02/01/2024
Woi aku mau top up game pakai ovo kok ga bisa.. Paan sih nih apk..,1,3.98.0,02/01/2024
Terimakasih ovo dana pending sudah dikembalikan 1x24 jam...,5,3.98.0,02/01/2024
"Saldo saya mau ngirim ke bca tapi transaksi nya di proses tapi udah 3 hari sampe sekarang belum di proses jugaa, agak nyesel siii apk ini, mhon bantuannya jika tidak mau di proses kembaliin aja ke saldo nyaa",1,3.98.0,02/01/2024
Ovo ok..segala transaksi lsncar,5,3.98.0,02/01/2024
"Mantap, sangat membantu",5,3.98.0,02/01/2024
"Dah ganti e wallet aja , sekalinya proses di tangguhkan , bener"" lama , malah di suruh kencan sama cs nya , udah topup saldo kepotong 1k setiap topup , + proses transaksi yang masih stuck , terpotong lebih dulu , dari pada pengembalian dananya",1,3.98.0,02/01/2024
"Saran saya Berdasarkan pengalaman saya, Jangan pilih OVO , Transfer antar bank dikenakan BIAYA 2.5oo. kalau ada yg gratis kenapa harus yg bayar. yg gratis banyak.....",1,3.98.0,02/01/2024
Tidak bisa kirim ke sesama OVO dan scan QRIS,1,3.98.0,02/01/2024
Kenapa bayar youtube premium ga bisa ya?,2,3.98.0,02/01/2024
"kenapa saya sering gagal transfer pulsa dan ke sesama ovo? biasanya langsung masuk, sekarang gagal terus,",1,3.98.0,02/01/2024
"Memudahkan untuk ke banyak transaksi, cepat dan mudah. Jujurly kebantu banget dengan aplikasi OVO ini dimanapun kapanpun tinggal klik-klik ga usah ribet dan bingung. 🤗",5,3.98.0,02/01/2024
Kenapa saya engga bisa login terus.padahal perangkat tidak di root,3,3.98.0,02/01/2024
Aplikasi apa lah ini masa gw transfer proses mulu ga ke kirim kirim kapok gua pake aplikasi ini,1,3.98.0,02/01/2024
Kenapa saldo kena potongan ya? Padahal tidak pernah make... Rencana buat tabungan ehhh potongan besar banget,1,3.98.0,02/01/2024
Apk sih gini bgt mau tf ajh malah di suruh nunggu 2hari yg bener ajh woy. Kenapah sih grb bukanya kerja sama si biru ajh slama saya pake si biru engga pernah ada admin²n engga pernah mau tf klo gagal harus nunggu smp 2 hari haddeuh mana sono sini admin mau topup admin mau tf admin mau narik tunai juga admin kebnyakan ambil untung tapi pelayanan lemah.,1,3.98.0,01/01/2024
"Sayang ga ads paylatter nya,",5,3.98.0,01/01/2024
"Niatnya mau kasih 0 bintang , baru mau masuk otp wa gak masuk"" pindah ke sms link kadaluarsa dan akun di blokir 30 menit ,untung ni app tolol gak buat pembayaran utama",1,3.98.0,01/01/2024
Aplikasi gak jelas upgrade nya eror mulu,1,3.98.0,01/01/2024
Sering lag ( error ) mau log in susah,1,3.98.0,01/01/2024
"habis top up malah g bisa di buka ,dasar babi",2,3.98.0,01/01/2024
Pelayanan yang sangat kurang kurang kurang memuaskan .. mau tf gagal terus ke sesama ovo apa lagi mau bayar Qris selalu gagal aplikasi yang sangat MENGECEWAKAN.,1,3.98.0,01/01/2024
"kecewa SMA ewalet OVO , uninstall aja",1,3.98.0,01/01/2024
"Tf gagal mulu,,payah nih sekarang",2,3.98.0,01/01/2024
Percuma di email... sama aja LAMBAT,1,3.98.0,01/01/2024
Baru mau daftar ga bisa tulis nama aneh,1,3.98.0,01/01/2024
mantap.mahkasi atas kerja samanya🙏🙏,5,3.98.0,01/01/2024
App baguss lebih gampang kemana dengan ovo.. tq 👍👍👍,5,3.98.0,01/01/2024
Bagus sekali sangat berguna bagi saya semoga tidak ada kendala,5,3.98.0,01/01/2024
cukup rekomended,4,3.98.0,01/01/2024
