content,score,at,token,lemmatized,clean,period,sentiment,is_positive,is_negative
kecewa make puas banget dan bisa andalkan ketika butuh,5,2022-07-01,"['kecewa', 'make', 'puas', 'banget', 'andalkan', 'butuh']",kecewa make puas banget andal butuh,kecewa make puas banget andalkan butuh,2022-07,NEGATIVE,0,0
pokoknya kalau pakai ada ribetnya deh siip,5,2022-07-23,"['pokoknya', 'pakai', 'ribetnya', 'deh', 'siip']",pokok pakai ribetnya deh siip,pokoknya pakai ribetnya deh siip,2022-07,NEGATIVE,0,0
sudah sekarang jauhi pinjol bunganya mencekik cara penagihannya keluar dari aturan ojk pinjol setan,1,2022-07-22,"['jauhi', 'pinjol', 'bunganya', 'mencekik', 'penagihannya', 'aturan', 'ojk', 'pinjol', 'setan']",jauh pinjol bunga cekik tagih atur ojk pinjol setan,jauhi pinjol bunganya mencekik penagihannya aturan ojk pinjol setan,2022-07,NEGATIVE,0,0
pinjaman saya tidak disetujui tolong hapus semua data saya terima kasih,2,2022-07-11,"['pinjaman', 'disetujui', 'tolong', 'hapus', 'data', 'terima', 'kasih']",pinjam tuju tolong hapus data terima kasih,pinjaman disetujui tolong hapus data terima kasih,2022-07,NEGATIVE,0,0
elah bayar perna terlambat azha blokir gara srg beli plsa,1,2022-07-04,"['elah', 'bayar', 'perna', 'terlambat', 'azha', 'blokir', 'gara', 'srg', 'beli', 'plsa']",elah bayar perna lambat azha blokir gara srg beli plsa,elah bayar perna terlambat azha blokir gara srg beli plsa,2022-07,NEGATIVE,0,0
aku ksih bintang dahulu kalau benar bagus aplikasi ksih,4,2022-07-14,"['ksih', 'bintang', 'bagus', 'aplikasi', 'ksih']",ksih bintang bagus aplikasi ksih,ksih bintang bagus aplikasi ksih,2022-07,POSITIVE,0,0
paling bagus saya temuai cuma sekarang bisa pinjam full hanya dari limit,5,2022-07-04,"['bagus', 'temuai', 'pinjam', 'full', 'limit']",bagus tuai pinjam full limit,bagus temuai pinjam full limit,2022-07,POSITIVE,0,0
apa apa transasksi banyak shopee masa upgrade ditolak terus bisa upgrade lagi bulan kemudian tidak jelas,1,2022-07-03,"['transasksi', 'shopee', 'upgrade', 'ditolak', 'upgrade']",transasksi shopee upgrade tolak upgrade,transasksi shopee upgrade ditolak upgrade,2022-07,NEGATIVE,0,0
keren dan terpercaya semoga selalu sukses aamiin,5,2022-07-21,"['keren', 'terpercaya', 'semoga', 'sukses', 'aamiin']",keren terpercaya moga sukses aamiin,keren terpercaya semoga sukses aamiin,2022-07,POSITIVE,0,0
ini baru saya unduh semoga pengajuannya dapat cair untuk pengisian datanya memang sangat mudah,4,2022-07-21,"['unduh', 'semoga', 'pengajuannya', 'cair', 'pengisian', 'datanya', 'mudah']",unduh moga aju cair isi data mudah,unduh semoga pengajuannya cair pengisian datanya mudah,2022-07,POSITIVE,0,0
bayar tidak pernah sebelum jatuh tempo sudah dibayar terlambat bayar skor kredit kok bawah rata,3,2022-07-18,"['bayar', 'jatuh', 'tempo', 'dibayar', 'terlambat', 'bayar', 'skor', 'kredit']",bayar jatuh tempo bayar lambat bayar skor kredit,bayar jatuh tempo dibayar terlambat bayar skor kredit,2022-07,POSITIVE,0,0
terima kasih tanpa bertele pinjaman saya bisa cair dengan cepat,5,2022-07-27,"['terima', 'kasih', 'bertele', 'pinjaman', 'cair', 'cepat']",terima kasih tele pinjam cair cepat,terima kasih bertele pinjaman cair cepat,2022-07,POSITIVE,0,0
sangat sayangkan belum jatuh tempo sudah lunasi ingin memimjam kembali bahkan tolak,1,2022-07-28,"['sayangkan', 'jatuh', 'tempo', 'lunasi', 'memimjam', 'tolak']",sayang jatuh tempo lunas memimjam tolak,sayangkan jatuh tempo lunasi memimjam tolak,2022-07,NEGATIVE,0,0
parah banget aplikasi sombong saya bertanya akun saya yang lupa pin tidak ada jawaban samasekali,1,2022-07-08,"['parah', 'banget', 'aplikasi', 'sombong', 'akun', 'lupa', 'pin', 'samasekali']",parah banget aplikasi sombong akun lupa pin samasekali,parah banget aplikasi sombong akun lupa pin samasekali,2022-07,NEGATIVE,0,0
kenapa akun tidak bisa beli plsa kedua padahal baru sekali belanja plsa pertama,5,2022-07-19,"['akun', 'beli', 'plsa', 'belanja', 'plsa']",akun beli plsa belanja plsa,akun beli plsa belanja plsa,2022-07,NEGATIVE,0,0
pinjaman mudah banyak diskon belanja jadi mudah pula cukup saja kredivo,5,2022-07-30,"['pinjaman', 'mudah', 'diskon', 'belanja', 'mudah', 'kredivo']",pinjam mudah diskon belanja mudah kredivo,pinjaman mudah diskon belanja mudah kredivo,2022-07,POSITIVE,0,0
bagus banget pakai rumit dan proses cepat semoga besok naikan limit pinjaman ya,5,2022-07-24,"['bagus', 'banget', 'pakai', 'rumit', 'proses', 'cepat', 'semoga', 'besok', 'naikan', 'limit', 'pinjaman', 'ya']",bagus banget pakai rumit proses cepat moga besok naik limit pinjam ya,bagus banget pakai rumit proses cepat semoga besok naikan limit pinjaman ya,2022-07,POSITIVE,0,0
yang sangat membantu untuk mkm terima kasih kredivo,5,2022-07-04,"['membantu', 'mkm', 'terima', 'kasih', 'kredivo']",bantu mkm terima kasih kredivo,membantu mkm terima kasih kredivo,2022-07,POSITIVE,0,0
apa nih capek bkin npwp bahkan bisa mnjem hapus woyy data sayaa,1,2022-07-31,"['nih', 'capek', 'bkin', 'npwp', 'mnjem', 'hapus', 'woyy', 'data', 'sayaa']",nih capek bkin npwp mnjem hapus woyy data sayaa,nih capek bkin npwp mnjem hapus woyy data sayaa,2022-07,NEGATIVE,0,0
terimah kasih sangat membantu dan mudah untuk pengajuan,5,2022-07-02,"['terimah', 'kasih', 'membantu', 'mudah', 'pengajuan']",timah kasih bantu mudah aju,terimah kasih membantu mudah pengajuan,2022-07,POSITIVE,0,0
sangat mudah berbelanja dengan terima kasih kredivo,5,2022-07-12,"['mudah', 'berbelanja', 'terima', 'kasih', 'kredivo']",mudah belanja terima kasih kredivo,mudah berbelanja terima kasih kredivo,2022-07,POSITIVE,0,0
cepat tanggap solusi terbaik ari pada sama teman susahnya mntak ampun,5,2022-07-08,"['cepat', 'tanggap', 'solusi', 'terbaik', 'ari', 'teman', 'susahnya', 'mntak', 'ampun']",cepat tanggap solusi baik ari teman susah mntak ampun,cepat tanggap solusi terbaik ari teman susahnya mntak ampun,2022-07,POSITIVE,0,0
sangat membantu buat lagi butuh dana bantuan gampang acc,5,2022-07-17,"['membantu', 'butuh', 'dana', 'bantuan', 'gampang', 'acc']",bantu butuh dana bantu gampang acc,membantu butuh dana bantuan gampang acc,2022-07,POSITIVE,0,0
baru pertama kali mencoba semoga saja cocok dan memberikan pelayanan yang nyaman,5,2022-07-13,"['kali', 'mencoba', 'semoga', 'cocok', 'pelayanan', 'nyaman']",kali coba moga cocok layan nyaman,kali mencoba semoga cocok pelayanan nyaman,2022-07,POSITIVE,0,0
memikirkan lagi pembayaran dipercepat melebihi tanggal dan bulan mjm susahnya,1,2022-07-18,"['memikirkan', 'pembayaran', 'dipercepat', 'melebihi', 'tanggal', 'mjm', 'susahnya']",pikir bayar cepat lebih tanggal mjm susah,memikirkan pembayaran dipercepat melebihi tanggal mjm susahnya,2022-07,NEGATIVE,0,0
kenapa saya sellu ggal falam mengajukan pinjaman tunai pedahal riwayat saya pernah terlambat,1,2022-07-06,"['sellu', 'ggal', 'falam', 'mengajukan', 'pinjaman', 'tunai', 'pedahal', 'riwayat', 'terlambat']",sellu ggal falam aju pinjam tunai pedahal riwayat lambat,sellu ggal falam mengajukan pinjaman tunai pedahal riwayat terlambat,2022-07,NEGATIVE,0,0
membantu harus tepat waktu saat jatuh tempo jangan sampai lewat biar aman nyaman telinga wkwkwkw,5,2022-07-18,"['membantu', 'jatuh', 'tempo', 'biar', 'aman', 'nyaman', 'telinga', 'wkwkwkw']",bantu jatuh tempo biar aman nyaman telinga wkwkwkw,membantu jatuh tempo biar aman nyaman telinga wkwkwkw,2022-07,POSITIVE,0,0
bagus kendala ganggu sistem segera perbaikan,5,2022-07-07,"['bagus', 'kendala', 'ganggu', 'sistem', 'perbaikan']",bagus kendala ganggu sistem baik,bagus kendala ganggu sistem perbaikan,2022-07,POSITIVE,0,0
upgrade tolak mulu mentok padahal sudah pakai terus bayar tepat waktu naik limit sangat mengecewakan,1,2022-07-09,"['upgrade', 'tolak', 'mulu', 'mentok', 'pakai', 'bayar', 'limit', 'mengecewakan']",upgrade tolak mulu mentok pakai bayar limit kecewa,upgrade tolak mulu mentok pakai bayar limit mengecewakan,2022-07,NEGATIVE,0,0
selalu membantu semua kebutuhan kita proses cepat dan bunga kecil tank kredivo,5,2022-07-29,"['membantu', 'kebutuhan', 'proses', 'cepat', 'bunga', 'tank', 'kredivo']",bantu butuh proses cepat bunga tank kredivo,membantu kebutuhan proses cepat bunga tank kredivo,2022-07,POSITIVE,0,0
aplikasi nya bagus mempermudah semua orang yang akan susah kebutuhan nya,5,2022-07-07,"['aplikasi', 'nya', 'bagus', 'mempermudah', 'orang', 'susah', 'kebutuhan', 'nya']",aplikasi nya bagus mudah orang susah butuh nya,aplikasi nya bagus mempermudah orang susah kebutuhan nya,2022-07,POSITIVE,0,0
sangat membantu sekali tapi tolong dong naikin limitnya kak,5,2022-07-07,"['membantu', 'tolong', 'naikin', 'limitnya', 'kak']",bantu tolong naikin limit kak,membantu tolong naikin limitnya kak,2022-07,NEGATIVE,0,0
sangat bagus cocok buat butuh dana cepat,5,2022-07-05,"['bagus', 'cocok', 'butuh', 'dana', 'cepat']",bagus cocok butuh dana cepat,bagus cocok butuh dana cepat,2022-07,POSITIVE,0,0
aplikasi nya sangat mudah mengerti dan sangat membantu saya,5,2022-07-02,"['aplikasi', 'nya', 'mudah', 'mengerti', 'membantu']",aplikasi nya mudah erti bantu,aplikasi nya mudah mengerti membantu,2022-07,POSITIVE,0,0
padahal sudah lama pakai tapi mau mengambil barang gagal terus pakai cicilan,1,2022-07-25,"['pakai', 'mengambil', 'barang', 'gagal', 'pakai', 'cicilan']",pakai ambil barang gagal pakai cicil,pakai mengambil barang gagal pakai cicilan,2022-07,NEGATIVE,0,0
datasaya aplikasi ini bocor pernah pinjam dimana pun kecuali disini,1,2022-07-12,"['datasaya', 'aplikasi', 'bocor', 'pinjam', 'dimana', 'kecuali']",datasaya aplikasi bocor pinjam mana kecuali,datasaya aplikasi bocor pinjam dimana kecuali,2022-07,NEGATIVE,0,0
belum setujui kasih 5bintang semoga saja distujui,5,2022-07-07,"['setujui', 'kasih', '5bintang', 'semoga', 'distujui']",tuju kasih 5bintang moga distujui,setujui kasih 5bintang semoga distujui,2022-07,POSITIVE,0,0
terima kasih sudah cair nih semoga bisa menjadi partner disaat belum gajian tanggal tua,5,2022-07-09,"['terima', 'kasih', 'cair', 'nih', 'semoga', 'partner', 'disaat', 'gajian', 'tanggal', 'tua']",terima kasih cair nih moga partner saat gaji tanggal tua,terima kasih cair nih semoga partner disaat gajian tanggal tua,2022-07,POSITIVE,0,0
sangat bagus membantu juara dan paling mantap indonesia,5,2022-07-16,"['bagus', 'membantu', 'juara', 'mantap', 'indonesia']",bagus bantu juara mantap indonesia,bagus membantu juara mantap indonesia,2022-07,POSITIVE,0,0
cepat mudah semoga bisa lebih maju untuk pelayanannya,5,2022-07-08,"['cepat', 'mudah', 'semoga', 'maju', 'pelayanannya']",cepat mudah moga maju layan,cepat mudah semoga maju pelayanannya,2022-07,POSITIVE,0,0
sangat amat membantu proses mudah semoga bermanfaat,5,2022-07-26,"['membantu', 'proses', 'mudah', 'semoga', 'bermanfaat']",bantu proses mudah moga manfaat,membantu proses mudah semoga bermanfaat,2022-07,POSITIVE,0,0
terima kasih keredivo sudah setujui mudah dan aman,5,2022-07-15,"['terima', 'kasih', 'keredivo', 'setujui', 'mudah', 'aman']",terima kasih keredivo tuju mudah aman,terima kasih keredivo setujui mudah aman,2022-07,POSITIVE,0,0
banga dengan kinerja kriditvo bisa membantukami terima ksih kridvo,5,2022-07-19,"['banga', 'kinerja', 'kriditvo', 'membantukami', 'terima', 'ksih', 'kridvo']",banga kerja kriditvo membantukami terima ksih kridvo,banga kinerja kriditvo membantukami terima ksih kridvo,2022-07,POSITIVE,0,0
krdivo paling jos saya suka suatu saya butuh bisa ambil,4,2022-07-05,"['krdivo', 'jos', 'suka', 'butuh', 'ambil']",krdivo jos suka butuh ambil,krdivo jos suka butuh ambil,2022-07,POSITIVE,0,0
aplikasi pinjol yang sangat aman mudah dan terpercaya,5,2022-07-21,"['aplikasi', 'pinjol', 'aman', 'mudah', 'terpercaya']",aplikasi pinjol aman mudah terpercaya,aplikasi pinjol aman mudah terpercaya,2022-07,POSITIVE,0,0
terlambat hari saja nilai score credit bisa turun,2,2022-07-17,"['terlambat', 'nilai', 'score', 'credit', 'turun']",lambat nilai score credit turun,terlambat nilai score credit turun,2022-07,NEGATIVE,0,0
rekomendasi banget membantu banget tanggal tua bunganya rendah untuk tenor bulan,5,2022-07-24,"['rekomendasi', 'banget', 'membantu', 'banget', 'tanggal', 'tua', 'bunganya', 'rendah', 'tenor']",rekomendasi banget bantu banget tanggal tua bunga rendah tenor,rekomendasi banget membantu banget tanggal tua bunganya rendah tenor,2022-07,POSITIVE,0,0
setujui tapi limit non aktiv aneh buat apa setujui,1,2022-07-30,"['setujui', 'limit', 'non', 'aktiv', 'aneh', 'setujui']",tuju limit non aktiv aneh tuju,setujui limit non aktiv aneh setujui,2022-07,NEGATIVE,0,0
baru saja sudah klik selesai pendaftaran sudah tolak parah,1,2022-07-08,"['klik', 'selesai', 'pendaftaran', 'tolak', 'parah']",klik selesai daftar tolak parah,klik selesai pendaftaran tolak parah,2022-07,NEGATIVE,0,0
kenapa limit saya bisa pakai padahal baru kemarin bayar dan tidak terlambat,1,2022-07-21,"['limit', 'pakai', 'kemarin', 'bayar', 'terlambat']",limit pakai kemarin bayar lambat,limit pakai kemarin bayar terlambat,2022-07,POSITIVE,0,0
tolak terus mulai dari pinjaman sama paylater juga tolak terus sudah berkali kali ngajuin,1,2022-07-08,"['tolak', 'pinjaman', 'paylater', 'tolak', 'berkali', 'kali', 'ngajuin']",tolak pinjam paylater tolak kali kali ngajuin,tolak pinjaman paylater tolak berkali kali ngajuin,2022-07,NEGATIVE,0,0
maantap pinjaman mudah dengan syarat mudah terima kasih kredivo,5,2022-07-06,"['maantap', 'pinjaman', 'mudah', 'syarat', 'mudah', 'terima', 'kasih', 'kredivo']",maantap pinjam mudah syarat mudah terima kasih kredivo,maantap pinjaman mudah syarat mudah terima kasih kredivo,2022-07,POSITIVE,0,0
buruk tidak ada sama sekali kejelasan limit belum dipakai sudah nonaktifkan telpon tidak ada jawaban,1,2022-07-02,"['buruk', 'kejelasan', 'limit', 'dipakai', 'nonaktifkan', 'telpon']",buruk jelas limit pakai nonaktif telpon,buruk kejelasan limit dipakai nonaktifkan telpon,2022-07,NEGATIVE,0,0
semoga limit saya naik dan tenor panjang perbulan murah,5,2022-07-13,"['semoga', 'limit', 'tenor', 'perbulan', 'murah']",moga limit tenor bulan murah,semoga limit tenor perbulan murah,2022-07,POSITIVE,0,0
semoga acc ini sangat berguna banget buat kalian punya kebutuhan mendesak,4,2022-07-22,"['semoga', 'acc', 'berguna', 'banget', 'kebutuhan', 'mendesak']",moga acc guna banget butuh desak,semoga acc berguna banget kebutuhan mendesak,2022-07,POSITIVE,0,0
ini saya hapus sekarang tolong hapus data saya pengajuan lama prosesnya dan tidak menjanjikan,2,2022-07-26,"['hapus', 'tolong', 'hapus', 'data', 'pengajuan', 'prosesnya', 'menjanjikan']",hapus tolong hapus data aju proses janji,hapus tolong hapus data pengajuan prosesnya menjanjikan,2022-07,NEGATIVE,0,0
layanan pinjaman daring yang rumit dan membutuhkan waktu yang panjang pokoknya oke deh,5,2022-07-24,"['layanan', 'pinjaman', 'daring', 'rumit', 'membutuhkan', 'pokoknya', 'oke', 'deh']",layan pinjam daring rumit butuh pokok oke deh,layanan pinjaman daring rumit membutuhkan pokoknya oke deh,2022-07,POSITIVE,0,0
sangat membantu untuk kebutuhan dan perbelanjaan parawanita indonesia,5,2022-07-16,"['membantu', 'kebutuhan', 'perbelanjaan', 'parawanita', 'indonesia']",bantu butuh belanja parawanita indonesia,membantu kebutuhan perbelanjaan parawanita indonesia,2022-07,POSITIVE,0,0
gampang dan tidak rumit mudah acc iah,4,2022-07-17,"['gampang', 'rumit', 'mudah', 'acc', 'iah']",gampang rumit mudah acc iah,gampang rumit mudah acc iah,2022-07,POSITIVE,0,0
mau upgrade premium susah amat limit cuma ribu mau pakai apa,1,2022-07-04,"['upgrade', 'premium', 'susah', 'limit', 'ribu', 'pakai']",upgrade premium susah limit ribu pakai,upgrade premium susah limit ribu pakai,2022-07,NEGATIVE,0,0
kecewa padahal pmbayaran selalu prcepat tetapi pinjmn bahkan brkurang,2,2022-07-10,"['kecewa', 'pmbayaran', 'prcepat', 'pinjmn', 'brkurang']",kecewa pmbayaran prcepat pinjmn brkurang,kecewa pmbayaran prcepat pinjmn brkurang,2022-07,NEGATIVE,0,0
sementara aku kasih bintang kalau sudah acc saya kasih bintang,3,2022-07-11,"['kasih', 'bintang', 'acc', 'kasih', 'bintang']",kasih bintang acc kasih bintang,kasih bintang acc kasih bintang,2022-07,POSITIVE,0,0
trimakasi sudah acc ata saya semoga semakin sukses,5,2022-07-21,"['trimakasi', 'acc', 'ata', 'semoga', 'sukses']",trimakasi acc ata moga sukses,trimakasi acc ata semoga sukses,2022-07,POSITIVE,0,0
perkreditan bagus kenapa pernah acc kecewa sangat jelek dan mau mnyarankan,1,2022-07-05,"['perkreditan', 'bagus', 'acc', 'kecewa', 'jelek', 'mnyarankan']",kredit bagus acc kecewa jelek mnyarankan,perkreditan bagus acc kecewa jelek mnyarankan,2022-07,NEGATIVE,0,0
kasih full dahulu saja jika bagus bintangnya full terus dan jika tidak saya kurangi bintangnya,5,2022-07-27,"['kasih', 'full', 'bagus', 'bintangnya', 'full', 'kurangi', 'bintangnya']",kasih full bagus bintang full kurang bintang,kasih full bagus bintangnya full kurangi bintangnya,2022-07,NEGATIVE,0,0
pelayanan bagus dan tenor lumayan bagus buat para konsumen,5,2022-07-11,"['pelayanan', 'bagus', 'tenor', 'lumayan', 'bagus', 'konsumen']",layan bagus tenor lumayan bagus konsumen,pelayanan bagus tenor lumayan bagus konsumen,2022-07,POSITIVE,0,0
sangat bikin emosi transaksi gagal terus padahal limit masih tersedia,1,2022-07-24,"['bikin', 'emosi', 'transaksi', 'gagal', 'limit', 'tersedia']",bikin emosi transaksi gagal limit sedia,bikin emosi transaksi gagal limit tersedia,2022-07,NEGATIVE,0,0
aku kasih bintang dahulu mudah mudahan acc,3,2022-07-09,"['kasih', 'bintang', 'mudah', 'mudahan', 'acc']",kasih bintang mudah mudah acc,kasih bintang mudah mudahan acc,2022-07,POSITIVE,0,0
mengerikan tidak acc parah dan mencoba oagi 3bln,1,2022-07-01,"['mengerikan', 'acc', 'parah', 'mencoba', 'oagi', '3bln']",ngeri acc parah coba oagi 3bln,mengerikan acc parah mencoba oagi 3bln,2022-07,NEGATIVE,0,0
lagi bahkan disuruh tunggu bulan oktober untuk upgrade hmm,1,2022-07-27,"['disuruh', 'tunggu', 'oktober', 'upgrade', 'hmm']",suruh tunggu oktober upgrade hmm,disuruh tunggu oktober upgrade hmm,2022-07,NEGATIVE,0,0
pemakaian selama tahun tidak ada kendala sama sekali terima kasih indodana,5,2022-07-25,"['pemakaian', 'kendala', 'terima', 'kasih', 'indodana']",pakai kendala terima kasih indodana,pemakaian kendala terima kasih indodana,2022-07,POSITIVE,0,0
ternyata mudah ya semoga terus makin maju dan berjaya,5,2022-07-01,"['mudah', 'ya', 'semoga', 'maju', 'berjaya']",mudah ya moga maju jaya,mudah ya semoga maju berjaya,2022-07,POSITIVE,0,0
mudah mudahan setujui ntuk biaya masuk anak sekolah,5,2022-07-07,"['mudah', 'mudahan', 'setujui', 'ntuk', 'biaya', 'masuk', 'anak', 'sekolah']",mudah mudah tuju ntuk biaya masuk anak sekolah,mudah mudahan setujui ntuk biaya masuk anak sekolah,2022-07,POSITIVE,0,0
proses pengajuan sangat mudah dan cepat dan mudah pahami terima kasih,5,2022-07-05,"['proses', 'pengajuan', 'mudah', 'cepat', 'mudah', 'pahami', 'terima', 'kasih']",proses aju mudah cepat mudah paham terima kasih,proses pengajuan mudah cepat mudah pahami terima kasih,2022-07,POSITIVE,0,0
proses cepat pakai rumit smogah depan lebih tambah bagus lagi,5,2022-07-17,"['proses', 'cepat', 'pakai', 'rumit', 'smogah', 'bagus']",proses cepat pakai rumit smogah bagus,proses cepat pakai rumit smogah bagus,2022-07,POSITIVE,0,0
mudah dan gampang mengajukan ya cair cepat,5,2022-07-09,"['mudah', 'gampang', 'mengajukan', 'ya', 'cair', 'cepat']",mudah gampang aju ya cair cepat,mudah gampang mengajukan ya cair cepat,2022-07,POSITIVE,0,0
ini baru bangetzz limit sudah naik cepat banget rekomendasi banget ini,5,2022-07-20,"['bangetzz', 'limit', 'cepat', 'banget', 'rekomendasi', 'banget']",bangetzz limit cepat banget rekomendasi banget,bangetzz limit cepat banget rekomendasi banget,2022-07,POSITIVE,0,0
proses cepat dan suku bunga sangat rendah terima kasih,5,2022-07-29,"['proses', 'cepat', 'suku', 'bunga', 'rendah', 'terima', 'kasih']",proses cepat suku bunga rendah terima kasih,proses cepat suku bunga rendah terima kasih,2022-07,NEGATIVE,0,0
sangat amanah dan akurat walaupun ketat tapi real bisa pinjam uang tunai,5,2022-07-31,"['amanah', 'akurat', 'ketat', 'real', 'pinjam', 'uang', 'tunai']",amanah akurat ketat real pinjam uang tunai,amanah akurat ketat real pinjam uang tunai,2022-07,POSITIVE,0,0
cepat dan mudah semoga tidak seperti pinjol abal,5,2022-07-20,"['cepat', 'mudah', 'semoga', 'pinjol', 'abal']",cepat mudah moga pinjol abal,cepat mudah semoga pinjol abal,2022-07,POSITIVE,0,0
jelek buruk lebih baik memasang lain lebih memudahkan pengguna pelayanannya juga tidak memuaskan,1,2022-07-09,"['jelek', 'buruk', 'memasang', 'memudahkan', 'pengguna', 'pelayanannya', 'memuaskan']",jelek buruk pasang mudah guna layan puas,jelek buruk memasang memudahkan pengguna pelayanannya memuaskan,2022-07,NEGATIVE,0,0
bagus sangat membantu tetapi sekarang limit bisa pakai padal baru setujui tetapi bisa pskai,4,2022-07-25,"['bagus', 'membantu', 'limit', 'pakai', 'padal', 'setujui', 'pskai']",bagus bantu limit pakai padal tuju pskai,bagus membantu limit pakai padal setujui pskai,2022-07,POSITIVE,0,0
saya tidak jadi minjam data saya harap dihapus atas nama sukron,5,2022-07-07,"['minjam', 'data', 'harap', 'dihapus', 'nama', 'sukron']",minjam data harap hapus nama sukron,minjam data harap dihapus nama sukron,2022-07,NEGATIVE,0,0
pengajuan saya tolak tolong data saya jangan salah gunakan,1,2022-07-20,"['pengajuan', 'tolak', 'tolong', 'data', 'salah']",aju tolak tolong data salah,pengajuan tolak tolong data salah,2022-07,NEGATIVE,0,0
terbaik dan paling bagus tidakk susah dan sangat mudah,4,2022-07-09,"['terbaik', 'bagus', 'tidakk', 'susah', 'mudah']",baik bagus tidakk susah mudah,terbaik bagus tidakk susah mudah,2022-07,POSITIVE,0,0
sangat membantu untuk keprluan modal usaha terima kasih indodana,4,2022-07-26,"['membantu', 'keprluan', 'modal', 'usaha', 'terima', 'kasih', 'indodana']",bantu keprluan modal usaha terima kasih indodana,membantu keprluan modal usaha terima kasih indodana,2022-07,POSITIVE,0,0
ojol mau pada bertantas karena tidak terdaftar ojk hati,1,2022-07-15,"['ojol', 'bertantas', 'terdaftar', 'ojk', 'hati']",ojol bertantas daftar ojk hati,ojol bertantas terdaftar ojk hati,2022-07,NEGATIVE,0,0
pembelian belanja tanggal tua sangat membantu mantap jiwa,5,2022-07-04,"['pembelian', 'belanja', 'tanggal', 'tua', 'membantu', 'mantap', 'jiwa']",beli belanja tanggal tua bantu mantap jiwa,pembelian belanja tanggal tua membantu mantap jiwa,2022-07,POSITIVE,0,0
terima kasih melayani secara cepat untuk pinjaman awal pokoknya terbaik kredivo,5,2022-07-16,"['terima', 'kasih', 'melayani', 'cepat', 'pinjaman', 'pokoknya', 'terbaik', 'kredivo']",terima kasih layan cepat pinjam pokok baik kredivo,terima kasih melayani cepat pinjaman pokoknya terbaik kredivo,2022-07,POSITIVE,0,0
baru pertama menggunakan langsung belanja deh terima kasih indodana,5,2022-07-29,"['langsung', 'belanja', 'deh', 'terima', 'kasih', 'indodana']",langsung belanja deh terima kasih indodana,langsung belanja deh terima kasih indodana,2022-07,POSITIVE,0,0
bagus banget cicilan murah bunga ringan,5,2022-07-04,"['bagus', 'banget', 'cicilan', 'murah', 'bunga', 'ringan']",bagus banget cicil murah bunga ringan,bagus banget cicilan murah bunga ringan,2022-07,POSITIVE,0,0
aman dan terpercaya prosesnya cepat lagi trimakasi kredivo,5,2022-07-29,"['aman', 'terpercaya', 'prosesnya', 'cepat', 'trimakasi', 'kredivo']",aman terpercaya proses cepat trimakasi kredivo,aman terpercaya prosesnya cepat trimakasi kredivo,2022-07,POSITIVE,0,0
kirain tenor lama tahu singkat benar sudah itu bunga seperti rentenir jalanan menyesal dwonload nya,1,2022-07-26,"['kirain', 'tenor', 'singkat', 'bunga', 'rentenir', 'jalanan', 'menyesal', 'dwonload', 'nya']",kirain tenor singkat bunga rentenir jalan sesal dwonload nya,kirain tenor singkat bunga rentenir jalanan menyesal dwonload nya,2022-07,NEGATIVE,0,0
semoga bisa membantu disaat ada keperluan sambil tunggu gajian mantap,5,2022-07-12,"['semoga', 'membantu', 'disaat', 'keperluan', 'tunggu', 'gajian', 'mantap']",moga bantu saat perlu tunggu gaji mantap,semoga membantu disaat keperluan tunggu gajian mantap,2022-07,POSITIVE,0,0
sangat membantu disaat kita membutuhkan dana darurat dengan proses sangat cepat dan mudah kredivo,5,2022-07-09,"['membantu', 'disaat', 'membutuhkan', 'dana', 'darurat', 'proses', 'cepat', 'mudah', 'kredivo']",bantu saat butuh dana darurat proses cepat mudah kredivo,membantu disaat membutuhkan dana darurat proses cepat mudah kredivo,2022-07,POSITIVE,0,0
sangat membantu ketikaa pulsa listrik kebutuhan perpulsaan habis,5,2022-07-06,"['membantu', 'ketikaa', 'pulsa', 'listrik', 'kebutuhan', 'perpulsaan', 'habis']",bantu ketikaa pulsa listrik butuh pulsa habis,membantu ketikaa pulsa listrik kebutuhan perpulsaan habis,2022-07,POSITIVE,0,0
mantap pelayanannya cepat tidak rumit luar biasa tingkatkan,5,2022-07-18,"['mantap', 'pelayanannya', 'cepat', 'rumit', 'tingkatkan']",mantap layan cepat rumit tingkat,mantap pelayanannya cepat rumit tingkatkan,2022-07,POSITIVE,0,0
saya pengguna baru saat saya coba sangat membantu saat kebutuhan mendesak terima kasih kredivo,5,2022-07-22,"['pengguna', 'coba', 'membantu', 'kebutuhan', 'mendesak', 'terima', 'kasih', 'kredivo']",guna coba bantu butuh desak terima kasih kredivo,pengguna coba membantu kebutuhan mendesak terima kasih kredivo,2022-07,POSITIVE,0,0
gila akun harus tunggu bulan baru bisa pakai tidak ngotax,1,2022-07-24,"['gila', 'akun', 'tunggu', 'pakai', 'ngotax']",gila akun tunggu pakai ngotax,gila akun tunggu pakai ngotax,2022-07,NEGATIVE,0,0
terima kasih sangat memuaskan terima kasih banyak sangat membantu sekali,5,2022-07-23,"['terima', 'kasih', 'memuaskan', 'terima', 'kasih', 'membantu']",terima kasih puas terima kasih bantu,terima kasih memuaskan terima kasih membantu,2022-07,POSITIVE,0,0
