content,score,at,token,lemmatized,clean,period,sentiment,is_positive,is_negative,rating_sentiment
persyaratan tidak rumit semoga saja pengajuan atas nama tiar rivanka taryana acc terima kasih,5,2021-12-03,"['persyaratan', 'rumit', 'semoga', 'pengajuan', 'nama', 'tiar', 'rivanka', 'taryana', 'acc', 'terima', 'kasih']",syarat rumit moga aju nama tiar rivanka taryana acc terima kasih,persyaratan rumit semoga pengajuan nama tiar rivanka taryana acc terima kasih,2021-12,POSITIVE,1,0,POSITIVE
sangat membantu saat kondisi lagi mendesak punya keperluan hanya yang bisa membantu indodana,5,2021-12-25,"['membantu', 'kondisi', 'mendesak', 'keperluan', 'membantu', 'indodana']",bantu kondisi desak perlu bantu indodana,membantu kondisi mendesak keperluan membantu indodana,2021-12,POSITIVE,1,0,POSITIVE
proses mudah dan cepat semoga acc aamiin,5,2021-12-20,"['proses', 'mudah', 'cepat', 'semoga', 'acc', 'aamiin']",proses mudah cepat moga acc aamiin,proses mudah cepat semoga acc aamiin,2021-12,POSITIVE,1,0,POSITIVE
mudah mudahan approve buat bantu sampai gajian,5,2021-12-23,"['mudah', 'mudahan', 'approve', 'bantu', 'gajian']",mudah mudah approve bantu gaji,mudah mudahan approve bantu gajian,2021-12,POSITIVE,1,0,POSITIVE
kasih bintang saja yang penting menghargai usaha orang yang sedang bekerja bidangnya,5,2021-12-08,"['kasih', 'bintang', 'menghargai', 'usaha', 'orang', 'bidangnya']",kasih bintang harga usaha orang bidang,kasih bintang menghargai usaha orang bidangnya,2021-12,POSITIVE,1,0,POSITIVE
tolong hapus data saya karena tidak mudah untuk acc atas nama ivanka yuda pratama,1,2021-12-15,"['tolong', 'hapus', 'data', 'mudah', 'acc', 'nama', 'ivanka', 'yuda', 'pratama']",tolong hapus data mudah acc nama ivanka yuda pratama,tolong hapus data mudah acc nama ivanka yuda pratama,2021-12,NEGATIVE,0,1,NEGATIVE
proses cepat bunga rendah bisa cicil lagi ini sangat terbaik dan tercepat prosesnya,5,2021-12-05,"['proses', 'cepat', 'bunga', 'rendah', 'cicil', 'terbaik', 'tercepat', 'prosesnya']",proses cepat bunga rendah cicil baik cepat proses,proses cepat bunga rendah cicil terbaik tercepat prosesnya,2021-12,POSITIVE,1,0,POSITIVE
prosesnya rumit terus cepat semoga banyak pemggemar ini jaya selalu,5,2021-12-06,"['prosesnya', 'rumit', 'cepat', 'semoga', 'pemggemar', 'jaya']",proses rumit cepat moga pemggemar jaya,prosesnya rumit cepat semoga pemggemar jaya,2021-12,POSITIVE,1,0,POSITIVE
saya kasih bintang karena prosesnya mudah tidak rumit tinggal tunggu acc saja semoga acc indodana,4,2021-12-27,"['kasih', 'bintang', 'prosesnya', 'mudah', 'rumit', 'tinggal', 'tunggu', 'acc', 'semoga', 'acc', 'indodana']",kasih bintang proses mudah rumit tinggal tunggu acc moga acc indodana,kasih bintang prosesnya mudah rumit tinggal tunggu acc semoga acc indodana,2021-12,POSITIVE,1,0,POSITIVE
pendaftaran dan persyaratan sangat mudah semoga acc,5,2021-12-14,"['pendaftaran', 'persyaratan', 'mudah', 'semoga', 'acc']",daftar syarat mudah moga acc,pendaftaran persyaratan mudah semoga acc,2021-12,POSITIVE,1,0,POSITIVE
sangat membantu saya saat darurat uangan saya semg amanah terus,5,2021-12-06,"['membantu', 'darurat', 'uangan', 'semg', 'amanah']",bantu darurat uang semg amanah,membantu darurat uangan semg amanah,2021-12,POSITIVE,1,0,POSITIVE
wah apak ini mantap sekali limitnya banyak pilihan mau coba silahkan,5,2021-12-08,"['apak', 'mantap', 'limitnya', 'pilihan', 'coba', 'silahkan']",apak mantap limit pilih coba silah,apak mantap limitnya pilihan coba silahkan,2021-12,POSITIVE,1,0,POSITIVE
sangat membantu sekali saat membutuhkan terima kasih indo dana,5,2021-12-26,"['membantu', 'membutuhkan', 'terima', 'kasih', 'indo', 'dana']",bantu butuh terima kasih indo dana,membantu membutuhkan terima kasih indo dana,2021-12,POSITIVE,1,0,POSITIVE
aplikasi nya bagus dan tidak rumit dan mudah peroses nya,5,2021-12-20,"['aplikasi', 'nya', 'bagus', 'rumit', 'mudah', 'peroses', 'nya']",aplikasi nya bagus rumit mudah peroses nya,aplikasi nya bagus rumit mudah peroses nya,2021-12,POSITIVE,1,0,POSITIVE
hapus data karena tida acc awas aplikasi,1,2021-12-31,"['hapus', 'data', 'tida', 'acc', 'awas', 'aplikasi']",hapus data tida acc awas aplikasi,hapus data tida acc awas aplikasi,2021-12,NEGATIVE,0,1,NEGATIVE
semoga bermanfaat dan pelayanannya cepat dan profesional,5,2021-12-05,"['semoga', 'bermanfaat', 'pelayanannya', 'cepat', 'profesional']",moga manfaat layan cepat profesional,semoga bermanfaat pelayanannya cepat profesional,2021-12,POSITIVE,1,0,POSITIVE
proses cepat dan mudah terima kasih indodana,5,2021-12-02,"['proses', 'cepat', 'mudah', 'terima', 'kasih', 'indodana']",proses cepat mudah terima kasih indodana,proses cepat mudah terima kasih indodana,2021-12,POSITIVE,1,0,POSITIVE
mudah mudahan acc ya box saya beri bintang aminn,5,2021-12-30,"['mudah', 'mudahan', 'acc', 'ya', 'box', 'bintang', 'aminn']",mudah mudah acc ya box bintang aminn,mudah mudahan acc ya box bintang aminn,2021-12,POSITIVE,1,0,POSITIVE
cair disini terima kasih semoga seperti ini terus aamiin,5,2021-12-25,"['cair', 'terima', 'kasih', 'semoga', 'aamiin']",cair terima kasih moga aamiin,cair terima kasih semoga aamiin,2021-12,POSITIVE,1,0,POSITIVE
semoga berhasil buat modal usaha aku kasih bintang,5,2021-12-29,"['semoga', 'berhasil', 'modal', 'usaha', 'kasih', 'bintang']",moga hasil modal usaha kasih bintang,semoga berhasil modal usaha kasih bintang,2021-12,POSITIVE,1,0,POSITIVE
kali pngjuan kali ggal curi data saja,1,2021-12-08,"['kali', 'pngjuan', 'kali', 'ggal', 'curi', 'data']",kali pngjuan kali ggal curi data,kali pngjuan kali ggal curi data,2021-12,NEGATIVE,0,1,NEGATIVE
baru pertama pengajuan langsung acc pengisian tidak terlalu rumit makasiih sukses selalu,5,2021-12-04,"['pengajuan', 'langsung', 'acc', 'pengisian', 'rumit', 'makasiih', 'sukses']",aju langsung acc isi rumit makasiih sukses,pengajuan langsung acc pengisian rumit makasiih sukses,2021-12,POSITIVE,1,0,POSITIVE
semoga bisa frsoses ya lagih butuh banget,5,2021-12-22,"['semoga', 'frsoses', 'ya', 'lagih', 'butuh', 'banget']",moga frsoses ya lagih butuh banget,semoga frsoses ya lagih butuh banget,2021-12,POSITIVE,1,0,POSITIVE
sangat puas pengajuan kirim langsung proses dan setujui,5,2021-12-17,"['puas', 'pengajuan', 'kirim', 'langsung', 'proses', 'setujui']",puas aju kirim langsung proses tuju,puas pengajuan kirim langsung proses setujui,2021-12,POSITIVE,1,0,POSITIVE
semoga acc dan bisa untuk modal bisnis daring,5,2021-12-10,"['semoga', 'acc', 'modal', 'bisnis', 'daring']",moga acc modal bisnis daring,semoga acc modal bisnis daring,2021-12,POSITIVE,1,0,POSITIVE
cepat proses dan dijamin aman data kita terima kasih indodana,5,2021-12-28,"['cepat', 'proses', 'dijamin', 'aman', 'data', 'terima', 'kasih', 'indodana']",cepat proses jamin aman data terima kasih indodana,cepat proses dijamin aman data terima kasih indodana,2021-12,POSITIVE,1,0,POSITIVE
aku kasih bintang dahulu mudah kasih bantuan,5,2021-12-20,"['kasih', 'bintang', 'mudah', 'kasih', 'bantuan']",kasih bintang mudah kasih bantu,kasih bintang mudah kasih bantuan,2021-12,POSITIVE,1,0,POSITIVE
terima kasih sangat membantu semoga tambah sukses,5,2021-12-20,"['terima', 'kasih', 'membantu', 'semoga', 'sukses']",terima kasih bantu moga sukses,terima kasih membantu semoga sukses,2021-12,POSITIVE,1,0,POSITIVE
terima kasih solusi banget semoga sukses untuk admin dan aplikasi rekomendasi banget,5,2021-12-17,"['terima', 'kasih', 'solusi', 'banget', 'semoga', 'sukses', 'admin', 'aplikasi', 'rekomendasi', 'banget']",terima kasih solusi banget moga sukses admin aplikasi rekomendasi banget,terima kasih solusi banget semoga sukses admin aplikasi rekomendasi banget,2021-12,POSITIVE,1,0,POSITIVE
selalu yang terbaik doenload daftrakan dan dapatkan mantap,5,2021-12-18,"['terbaik', 'doenload', 'daftrakan', 'dapatkan', 'mantap']",baik doenload daftrakan dapat mantap,terbaik doenload daftrakan dapatkan mantap,2021-12,POSITIVE,1,0,POSITIVE
semoga cepat acc urgent bngen indorama terima kasih,5,2021-12-13,"['semoga', 'cepat', 'acc', 'urgent', 'bngen', 'indorama', 'terima', 'kasih']",moga cepat acc urgent bngen indorama terima kasih,semoga cepat acc urgent bngen indorama terima kasih,2021-12,POSITIVE,1,0,POSITIVE
baru bergabung semoga semua beri kelancara praktis pakai indodana,4,2021-12-19,"['bergabung', 'semoga', 'kelancara', 'praktis', 'pakai', 'indodana']",gabung moga kelancara praktis pakai indodana,bergabung semoga kelancara praktis pakai indodana,2021-12,POSITIVE,1,0,POSITIVE
tolong hapus data saya pengajuan saya tolak cuma minta data saja ternyata hahaha,1,2021-12-28,"['tolong', 'hapus', 'data', 'pengajuan', 'tolak', 'data', 'hahaha']",tolong hapus data aju tolak data hahaha,tolong hapus data pengajuan tolak data hahaha,2021-12,NEGATIVE,0,1,NEGATIVE
data sudah terkirim pengisian lancar tidak rumit tunggu acc nya,5,2021-12-07,"['data', 'terkirim', 'pengisian', 'lancar', 'rumit', 'tunggu', 'acc', 'nya']",data kirim isi lancar rumit tunggu acc nya,data terkirim pengisian lancar rumit tunggu acc nya,2021-12,POSITIVE,1,0,POSITIVE
hadeh jelek coba saja klau ada bintang minus pasti pilih bintang,1,2021-12-01,"['hadeh', 'jelek', 'coba', 'klau', 'bintang', 'minus', 'pilih', 'bintang']",hadeh jelek coba klau bintang minus pilih bintang,hadeh jelek coba klau bintang minus pilih bintang,2021-12,NEGATIVE,0,1,NEGATIVE
tolong data saya dihapus karena pengajuan saya ditolak,2,2021-12-08,"['tolong', 'data', 'dihapus', 'pengajuan', 'ditolak']",tolong data hapus aju tolak,tolong data dihapus pengajuan ditolak,2021-12,NEGATIVE,0,1,NEGATIVE
pinjaman gampang cair cepat cuma jangka waktunya lalu pendek tapi ini bagus,5,2021-12-24,"['pinjaman', 'gampang', 'cair', 'cepat', 'jangka', 'pendek', 'bagus']",pinjam gampang cair cepat jangka pendek bagus,pinjaman gampang cair cepat jangka pendek bagus,2021-12,POSITIVE,1,0,POSITIVE
semoga bisa lolos karena besar harapan untuk pengembangan usaha,4,2021-12-01,"['semoga', 'lolos', 'harapan', 'pengembangan', 'usaha']",moga lolos harap kembang usaha,semoga lolos harapan pengembangan usaha,2021-12,POSITIVE,1,0,POSITIVE
semoga acc kalau tidak ulas lagi bintang nya,5,2021-12-14,"['semoga', 'acc', 'ulas', 'bintang', 'nya']",moga acc ulas bintang nya,semoga acc ulas bintang nya,2021-12,POSITIVE,1,0,POSITIVE
klok tenor bisa sampai tahun saya kasih bintang buat indodana,4,2021-12-01,"['klok', 'tenor', 'kasih', 'bintang', 'indodana']",klok tenor kasih bintang indodana,klok tenor kasih bintang indodana,2021-12,POSITIVE,1,0,POSITIVE
saya kasih bintang semoga daerah aceh dapat pinjaman indodana,5,2021-12-21,"['kasih', 'bintang', 'semoga', 'daerah', 'aceh', 'pinjaman', 'indodana']",kasih bintang moga daerah aceh pinjam indodana,kasih bintang semoga daerah aceh pinjaman indodana,2021-12,POSITIVE,1,0,POSITIVE
saya coba bintang lima kalau tidak proses saya kasih bintang,5,2021-12-17,"['coba', 'bintang', 'proses', 'kasih', 'bintang']",coba bintang proses kasih bintang,coba bintang proses kasih bintang,2021-12,POSITIVE,1,0,POSITIVE
sangat membantu saat situasi genting terima kasih indo dana,5,2021-12-30,"['membantu', 'situasi', 'genting', 'terima', 'kasih', 'indo', 'dana']",bantu situasi genting terima kasih indo dana,membantu situasi genting terima kasih indo dana,2021-12,POSITIVE,1,0,POSITIVE
membantu sekali saat kepepet terima kasih indodana,5,2021-12-31,"['membantu', 'kepepet', 'terima', 'kasih', 'indodana']",bantu pepet terima kasih indodana,membantu kepepet terima kasih indodana,2021-12,POSITIVE,1,0,POSITIVE
mohon untuk hapus data saya arif kurniawan apabila ada tagihan saya tidak akan bertanggung jawab,2,2021-12-03,"['mohon', 'hapus', 'data', 'arif', 'kurniawan', 'tagihan', 'bertanggung']",mohon hapus data arif kurniawan tagih tanggung,mohon hapus data arif kurniawan tagihan bertanggung,2021-12,NEGATIVE,0,1,NEGATIVE
baru ngajuin awal sudah tolak dan tunggu sampai bulan januari padahal baru ngajuin pinjaman,2,2021-12-08,"['ngajuin', 'tolak', 'tunggu', 'januari', 'ngajuin', 'pinjaman']",ngajuin tolak tunggu januari ngajuin pinjam,ngajuin tolak tunggu januari ngajuin pinjaman,2021-12,NEGATIVE,0,1,NEGATIVE
mudah mudahan acc bunga rendah proses cepat pengisian data simpel,5,2021-12-11,"['mudah', 'mudahan', 'acc', 'bunga', 'rendah', 'proses', 'cepat', 'pengisian', 'data', 'simpel']",mudah mudah acc bunga rendah proses cepat isi data simpel,mudah mudahan acc bunga rendah proses cepat pengisian data simpel,2021-12,POSITIVE,1,0,POSITIVE
belum tanggal tempo nagih kayak orang kesetanan telpon 1hr berkali kali belum tahu dbayar sekalian,1,2021-12-15,"['tanggal', 'tempo', 'nagih', 'kayak', 'orang', 'kesetanan', 'telpon', '1hr', 'berkali', 'kali', 'dbayar']",tanggal tempo nagih kayak orang setan telpon 1hr kali kali dbayar,tanggal tempo nagih kayak orang kesetanan telpon 1hr berkali kali dbayar,2021-12,NEGATIVE,0,1,NEGATIVE
lasan bagus unduh kenapa selalu disuruh coba berikut nya,5,2021-12-08,"['lasan', 'bagus', 'unduh', 'disuruh', 'coba', 'nya']",las bagus unduh suruh coba nya,lasan bagus unduh disuruh coba nya,2021-12,POSITIVE,1,0,POSITIVE
payah belum tanggal jatoh tempo saja telpon kayak teroris pakai lagi,1,2021-12-23,"['payah', 'tanggal', 'jatoh', 'tempo', 'telpon', 'kayak', 'teroris', 'pakai']",payah tanggal jatoh tempo telpon kayak teroris pakai,payah tanggal jatoh tempo telpon kayak teroris pakai,2021-12,NEGATIVE,0,1,NEGATIVE
mantap bosque kalau bisa ada ini pinjem uang playlater limit bunga kecil atu bosque,5,2021-12-13,"['mantap', 'bosque', 'pinjem', 'uang', 'playlater', 'limit', 'bunga', 'atu', 'bosque']",mantap bosque pinjem uang playlater limit bunga atu bosque,mantap bosque pinjem uang playlater limit bunga atu bosque,2021-12,POSITIVE,1,0,POSITIVE
semoga bisa membantu saya dalam pinjam meminjam untuk buka usaha aamiin,5,2021-12-12,"['semoga', 'membantu', 'pinjam', 'meminjam', 'buka', 'usaha', 'aamiin']",moga bantu pinjam pinjam buka usaha aamiin,semoga membantu pinjam meminjam buka usaha aamiin,2021-12,POSITIVE,1,0,POSITIVE
satu bintang dulu soalnya pinjaman saya belum acc entar kalau sudah acc saya kasih bintang,1,2021-12-07,"['bintang', 'pinjaman', 'acc', 'entar', 'acc', 'kasih', 'bintang']",bintang pinjam acc entar acc kasih bintang,bintang pinjaman acc entar acc kasih bintang,2021-12,NEGATIVE,0,1,NEGATIVE
mantap langsung acc dan pinjaman lancar terima kasih indodana,5,2021-12-15,"['mantap', 'langsung', 'acc', 'pinjaman', 'lancar', 'terima', 'kasih', 'indodana']",mantap langsung acc pinjam lancar terima kasih indodana,mantap langsung acc pinjaman lancar terima kasih indodana,2021-12,POSITIVE,1,0,POSITIVE
apabila proses pinjaman terima saya sangat berterimakasih karan sudah membantu,5,2021-12-15,"['proses', 'pinjaman', 'terima', 'berterimakasih', 'karan', 'membantu']",proses pinjam terima berterimakasih karan bantu,proses pinjaman terima berterimakasih karan membantu,2021-12,POSITIVE,1,0,POSITIVE
semoga acc dahulu biar menjadi nasabah setia,4,2021-12-21,"['semoga', 'acc', 'biar', 'nasabah', 'setia']",moga acc biar nasabah setia,semoga acc biar nasabah setia,2021-12,POSITIVE,1,0,POSITIVE
verifikasi kyt pakai smartphone camera jelek susah banget gagal terus,2,2022-01-14,"['verifikasi', 'kyt', 'pakai', 'smartphone', 'camera', 'jelek', 'susah', 'banget', 'gagal']",verifikasi kyt pakai smartphone camera jelek susah banget gagal,verifikasi kyt pakai smartphone camera jelek susah banget gagal,2022-01,NEGATIVE,0,1,NEGATIVE
pengajuannya cepat pas banget lagi butuh biaya,5,2022-01-19,"['pengajuannya', 'cepat', 'pas', 'banget', 'butuh', 'biaya']",aju cepat pas banget butuh biaya,pengajuannya cepat pas banget butuh biaya,2022-01,POSITIVE,1,0,POSITIVE
mohon jaga data saya atau hapus ajah karena sudah tolak terima kasih,1,2022-01-26,"['mohon', 'jaga', 'data', 'hapus', 'ajah', 'tolak', 'terima', 'kasih']",mohon jaga data hapus ajah tolak terima kasih,mohon jaga data hapus ajah tolak terima kasih,2022-01,NEGATIVE,0,1,NEGATIVE
semoga acc aplikasi yang bagus dan banyak bantu kita semua,5,2022-01-02,"['semoga', 'acc', 'aplikasi', 'bagus', 'bantu']",moga acc aplikasi bagus bantu,semoga acc aplikasi bagus bantu,2022-01,POSITIVE,1,0,POSITIVE
semoga acc sebagai pembuktian bahwa ini terbaik area,5,2022-01-10,"['semoga', 'acc', 'pembuktian', 'terbaik', 'area']",moga acc bukti baik area,semoga acc pembuktian terbaik area,2022-01,POSITIVE,1,0,POSITIVE
telpon sms tapi pas pengajuan tolak tidak konsisten,1,2022-01-23,"['telpon', 'sms', 'pas', 'pengajuan', 'tolak', 'konsisten']",telpon sms pas aju tolak konsisten,telpon sms pas pengajuan tolak konsisten,2022-01,NEGATIVE,0,1,NEGATIVE
pengajuan ini benar bermanfaat bagi saya dan membantu mengembangkan usaha saya terima kasih,5,2022-01-26,"['pengajuan', 'bermanfaat', 'membantu', 'mengembangkan', 'usaha', 'terima', 'kasih']",aju manfaat bantu kembang usaha terima kasih,pengajuan bermanfaat membantu mengembangkan usaha terima kasih,2022-01,POSITIVE,1,0,POSITIVE
wooy coba dong yang benar dikit buat aplikasi itu masa aplikasih wajah tidak bisa siih,1,2022-01-22,"['wooy', 'coba', 'dikit', 'aplikasi', 'aplikasih', 'wajah', 'siih']",wooy coba dikit aplikasi aplikasih wajah siih,wooy coba dikit aplikasi aplikasih wajah siih,2022-01,NEGATIVE,0,1,NEGATIVE
habis bayar belum jatuh tempo tahu nge lock non aktifkan limitnya sayang banget,2,2022-01-28,"['habis', 'bayar', 'jatuh', 'tempo', 'nge', 'lock', 'non', 'aktifkan', 'limitnya', 'sayang', 'banget']",habis bayar jatuh tempo nge lock non aktif limit sayang banget,habis bayar jatuh tempo nge lock non aktifkan limitnya sayang banget,2022-01,NEGATIVE,0,1,NEGATIVE
semoga acc yaallah terima kasih banyak kalau sampai acc,5,2022-01-14,"['semoga', 'acc', 'yaallah', 'terima', 'kasih', 'acc']",moga acc yaallah terima kasih acc,semoga acc yaallah terima kasih acc,2022-01,POSITIVE,1,0,POSITIVE
beruntung bisa ketemu ini sangat membantu saya terima kasih indo dana,5,2022-01-23,"['beruntung', 'ketemu', 'membantu', 'terima', 'kasih', 'indo', 'dana']",untung ketemu bantu terima kasih indo dana,beruntung ketemu membantu terima kasih indo dana,2022-01,POSITIVE,1,0,POSITIVE
semoga jaya terus ini dan bisa membantu saya terima kasih,4,2022-01-04,"['semoga', 'jaya', 'membantu', 'terima', 'kasih']",moga jaya bantu terima kasih,semoga jaya membantu terima kasih,2022-01,POSITIVE,1,0,POSITIVE
semoga diloloskan ya saya akan masih bintang klau lolos,4,2022-01-16,"['semoga', 'diloloskan', 'ya', 'bintang', 'klau', 'lolos']",moga lolos ya bintang klau lolos,semoga diloloskan ya bintang klau lolos,2022-01,POSITIVE,1,0,POSITIVE
saya sudah coba aplikasi lain tolak mulu semoga ini acc,2,2022-01-28,"['coba', 'aplikasi', 'tolak', 'mulu', 'semoga', 'acc']",coba aplikasi tolak mulu moga acc,coba aplikasi tolak mulu semoga acc,2022-01,NEGATIVE,0,1,NEGATIVE
cuma curi data saja rasa ngajuin pasti tolak semua komen bagus paling pegawai wkwkwk,1,2022-01-15,"['curi', 'data', 'ngajuin', 'tolak', 'komen', 'bagus', 'pegawai', 'wkwkwk']",curi data ngajuin tolak komen bagus pegawai wkwkwk,curi data ngajuin tolak komen bagus pegawai wkwkwk,2022-01,NEGATIVE,0,1,NEGATIVE
terima kasih sangat membantu disaat butuh tambahan modal usaha semoga sukses selalu,5,2022-01-05,"['terima', 'kasih', 'membantu', 'disaat', 'butuh', 'tambahan', 'modal', 'usaha', 'semoga', 'sukses']",terima kasih bantu saat butuh tambah modal usaha moga sukses,terima kasih membantu disaat butuh tambahan modal usaha semoga sukses,2022-01,POSITIVE,1,0,POSITIVE
jadi pengajuan rumit banget segala bank tolong data saya jgan salah gunakan,1,2022-01-28,"['pengajuan', 'rumit', 'banget', 'bank', 'tolong', 'data', 'jgan', 'salah']",aju rumit banget bank tolong data jgan salah,pengajuan rumit banget bank tolong data jgan salah,2022-01,NEGATIVE,0,1,NEGATIVE
baru proses pengajuan sangat mudah semoga acc,5,2022-01-27,"['proses', 'pengajuan', 'mudah', 'semoga', 'acc']",proses aju mudah moga acc,proses pengajuan mudah semoga acc,2022-01,POSITIVE,1,0,POSITIVE
belum aplikasi padahal sudah lengkap aplikasi biru gambar burung saya setuju jeti,2,2022-01-22,"['aplikasi', 'lengkap', 'aplikasi', 'biru', 'gambar', 'burung', 'setuju', 'jeti']",aplikasi lengkap aplikasi biru gambar burung tuju jet,aplikasi lengkap aplikasi biru gambar burung setuju jeti,2022-01,NEGATIVE,0,1,NEGATIVE
janggan sekali donlowd aplicasi ini tidak jelas ada masalah tahu limit non aktifkan,1,2022-01-15,"['janggan', 'donlowd', 'aplicasi', 'limit', 'non', 'aktifkan']",janggan donlowd aplicasi limit non aktif,janggan donlowd aplicasi limit non aktifkan,2022-01,NEGATIVE,0,1,NEGATIVE
proses mudah dan cepat terima kasih indo dana,5,2022-01-08,"['proses', 'mudah', 'cepat', 'terima', 'kasih', 'indo', 'dana']",proses mudah cepat terima kasih indo dana,proses mudah cepat terima kasih indo dana,2022-01,POSITIVE,1,0,POSITIVE
buset pengajuan saya ditolak sampai bulan april dong wkwk,1,2022-01-22,"['buset', 'pengajuan', 'ditolak', 'april', 'wkwk']",buset aju tolak april wkwk,buset pengajuan ditolak april wkwk,2022-01,NEGATIVE,0,1,NEGATIVE
semoga diacc pinjam diapk sebelah limitnya kecil,2,2022-01-05,"['semoga', 'diacc', 'pinjam', 'diapk', 'sebelah', 'limitnya']",moga diacc pinjam diapk belah limit,semoga diacc pinjam diapk sebelah limitnya,2022-01,NEGATIVE,0,1,NEGATIVE
sangat membantu saya sedang ekoniminya susah terima kasih indodana,5,2022-01-20,"['membantu', 'ekoniminya', 'susah', 'terima', 'kasih', 'indodana']",bantu ekoniminya susah terima kasih indodana,membantu ekoniminya susah terima kasih indodana,2022-01,POSITIVE,1,0,POSITIVE
lumayan membantu walau suku bunga masih kalah sama sebelah,5,2022-01-30,"['lumayan', 'membantu', 'suku', 'bunga', 'kalah', 'sebelah']",lumayan bantu suku bunga kalah belah,lumayan membantu suku bunga kalah sebelah,2022-01,POSITIVE,1,0,POSITIVE
semoga bisa membantu karena sangat butuh modal usaha terima kasih,5,2022-01-22,"['semoga', 'membantu', 'butuh', 'modal', 'usaha', 'terima', 'kasih']",moga bantu butuh modal usaha terima kasih,semoga membantu butuh modal usaha terima kasih,2022-01,POSITIVE,1,0,POSITIVE
mudah kedepan bisa membantu masyarakan mkm yang membutuhkan terima kasih,5,2022-01-25,"['mudah', 'kedepan', 'membantu', 'masyarakan', 'mkm', 'membutuhkan', 'terima', 'kasih']",mudah depan bantu masyarakan mkm butuh terima kasih,mudah kedepan membantu masyarakan mkm membutuhkan terima kasih,2022-01,POSITIVE,1,0,POSITIVE
pinjamana tunai bikin geleng kepala biaya provinsi gila benar belum biaya pokoknya,1,2022-01-13,"['pinjamana', 'tunai', 'bikin', 'geleng', 'kepala', 'biaya', 'provinsi', 'gila', 'biaya', 'pokoknya']",pinjamana tunai bikin geleng kepala biaya provinsi gila biaya pokok,pinjamana tunai bikin geleng kepala biaya provinsi gila biaya pokoknya,2022-01,NEGATIVE,0,1,NEGATIVE
capek isi data ditolak mentah tolong hapus data saya,1,2022-01-22,"['capek', 'isi', 'data', 'ditolak', 'mentah', 'tolong', 'hapus', 'data']",capek isi data tolak mentah tolong hapus data,capek isi data ditolak mentah tolong hapus data,2022-01,NEGATIVE,0,1,NEGATIVE
pengguna pertama paylater bisa dapat cashback yang sangat membantu untuk pembayaran tagihan,5,2022-01-06,"['pengguna', 'paylater', 'cashback', 'membantu', 'pembayaran', 'tagihan']",guna paylater cashback bantu bayar tagih,pengguna paylater cashback membantu pembayaran tagihan,2022-01,POSITIVE,1,0,POSITIVE
baru coba aplikasi langsung diacc mantap sudah jaya terus,5,2022-01-23,"['coba', 'aplikasi', 'langsung', 'diacc', 'mantap', 'jaya']",coba aplikasi langsung diacc mantap jaya,coba aplikasi langsung diacc mantap jaya,2022-01,POSITIVE,1,0,POSITIVE
proses pengajuan lumayan cepat mudah bisa acc,5,2022-01-03,"['proses', 'pengajuan', 'lumayan', 'cepat', 'mudah', 'acc']",proses aju lumayan cepat mudah acc,proses pengajuan lumayan cepat mudah acc,2022-01,POSITIVE,1,0,POSITIVE
terima kasih sangat membantu bagi sangat membutukan dadakan,5,2022-01-25,"['terima', 'kasih', 'membantu', 'membutukan', 'dadakan']",terima kasih bantu membutukan dadak,terima kasih membantu membutukan dadakan,2022-01,POSITIVE,1,0,POSITIVE
mudah mudahan terima buat nambahin modal usaha aamiin,5,2022-01-27,"['mudah', 'mudahan', 'terima', 'nambahin', 'modal', 'usaha', 'aamiin']",mudah mudah terima nambahin modal usaha aamiin,mudah mudahan terima nambahin modal usaha aamiin,2022-01,POSITIVE,1,0,POSITIVE
kasih bintang dahulu semoga bisa memberikan yang terbaik dan semoga saya acc pengajuan nya,4,2022-01-01,"['kasih', 'bintang', 'semoga', 'terbaik', 'semoga', 'acc', 'pengajuan', 'nya']",kasih bintang moga baik moga acc aju nya,kasih bintang semoga terbaik semoga acc pengajuan nya,2022-01,POSITIVE,1,0,POSITIVE
baru daftar mencoba minjem ditolak mulu terus tiba akun dinonaktifkan begimna yak,2,2022-01-12,"['daftar', 'mencoba', 'minjem', 'ditolak', 'mulu', 'akun', 'dinonaktifkan', 'begimna', 'yak']",daftar coba minjem tolak mulu akun nonaktif begimna yak,daftar mencoba minjem ditolak mulu akun dinonaktifkan begimna yak,2022-01,NEGATIVE,0,1,NEGATIVE
kasih binang lima biar limid segara muncul,5,2022-01-30,"['kasih', 'binang', 'biar', 'limid', 'segara', 'muncul']",kasih bang biar limid segara muncul,kasih binang biar limid segara muncul,2022-01,POSITIVE,1,0,POSITIVE
tangerang selatan pamulang mantapplah sangat membantu semoga saya acc aamiin,5,2022-01-11,"['tangerang', 'selatan', 'pamulang', 'mantapplah', 'membantu', 'semoga', 'acc', 'aamiin']",tangerang selatan pamulang mantapplah bantu moga acc aamiin,tangerang selatan pamulang mantapplah membantu semoga acc aamiin,2022-01,POSITIVE,1,0,POSITIVE
aku kasih bintang semoga saja cair aamiin,5,2022-01-04,"['kasih', 'bintang', 'semoga', 'cair', 'aamiin']",kasih bintang moga cair aamiin,kasih bintang semoga cair aamiin,2022-01,POSITIVE,1,0,POSITIVE
baru pertama kali semoga acc dengan cepat dan untuk selanjutnya mudah,5,2022-01-02,"['kali', 'semoga', 'acc', 'cepat', 'mudah']",kali moga acc cepat mudah,kali semoga acc cepat mudah,2022-01,POSITIVE,1,0,POSITIVE
